{'loss': 0.862, 'grad_norm': 0.13034333288669586, 'learning_rate': 1.901828712807932e-05, 'epoch': 0.46}
{'loss': 0.8657, 'grad_norm': 0.17337068915367126, 'learning_rate': 1.900968867902419e-05, 'epoch': 0.46}
{'loss': 0.8765, 'grad_norm': 0.16115641593933105, 'learning_rate': 1.9001054699869136e-05, 'epoch': 0.46}
{'loss': 0.8746, 'grad_norm': 0.11625400185585022, 'learning_rate': 1.8992385224662625e-05, 'epoch': 0.46}
{'loss': 0.8811, 'grad_norm': 0.13095299899578094, 'learning_rate': 1.8983680287593108e-05, 'epoch': 0.46}
{'loss': 0.8684, 'grad_norm': 0.12052557617425919, 'learning_rate': 1.8974939922988886e-05, 'epoch': 0.46}
{'loss': 0.867, 'grad_norm': 0.13643686473369598, 'learning_rate': 1.8966164165317968e-05, 'epoch': 0.46}
{'loss': 0.8812, 'grad_norm': 0.12856261432170868, 'learning_rate': 1.8957353049187936e-05, 'epoch': 0.47}
{'loss': 0.8601, 'grad_norm': 0.1345992386341095, 'learning_rate': 1.8948506609345815e-05, 'epoch': 0.47}
{'loss': 0.8753, 'grad_norm': 0.12008301168680191, 'learning_rate': 1.893962488067792e-05, 'epoch': 0.47}
{'loss': 0.8738, 'grad_norm': 0.13115255534648895, 'learning_rate': 1.8930707898209733e-05, 'epoch': 0.47}
{'loss': 0.8572, 'grad_norm': 0.11786054819822311, 'learning_rate': 1.892175569710577e-05, 'epoch': 0.47}
{'loss': 0.8577, 'grad_norm': 0.13445858657360077, 'learning_rate': 1.8912768312669424e-05, 'epoch': 0.47}
{'loss': 0.8833, 'grad_norm': 0.14041002094745636, 'learning_rate': 1.8903745780342838e-05, 'epoch': 0.47}
{'loss': 0.87, 'grad_norm': 0.1282295286655426, 'learning_rate': 1.889468813570676e-05, 'epoch': 0.47}
{'loss': 0.8706, 'grad_norm': 0.1252467781305313, 'learning_rate': 1.8885595414480408e-05, 'epoch': 0.47}
{'loss': 0.875, 'grad_norm': 0.12263843417167664, 'learning_rate': 1.887646765252132e-05, 'epoch': 0.48}
{'loss': 0.8687, 'grad_norm': 0.128171905875206, 'learning_rate': 1.8867304885825222e-05, 'epoch': 0.48}
{'loss': 0.8486, 'grad_norm': 0.11887050420045853, 'learning_rate': 1.885810715052589e-05, 'epoch': 0.48}
{'loss': 0.8567, 'grad_norm': 0.13726353645324707, 'learning_rate': 1.8848874482894995e-05, 'epoch': 0.48}
{'loss': 0.8589, 'grad_norm': 0.13979928195476532, 'learning_rate': 1.883960691934196e-05, 'epoch': 0.48}
{'loss': 0.8715, 'grad_norm': 0.14173583686351776, 'learning_rate': 1.8830304496413822e-05, 'epoch': 0.48}
{'loss': 0.8652, 'grad_norm': 0.1336221694946289, 'learning_rate': 1.88209672507951e-05, 'epoch': 0.48}
{'loss': 0.8561, 'grad_norm': 0.17564073204994202, 'learning_rate': 1.8811595219307622e-05, 'epoch': 0.48}
{'loss': 0.8772, 'grad_norm': 0.1359936147928238, 'learning_rate': 1.8802188438910405e-05, 'epoch': 0.48}
{'loss': 0.8664, 'grad_norm': 0.15554535388946533, 'learning_rate': 1.87927469466995e-05, 'epoch': 0.49}
